mag_x (uT),mag_y (uT),mag_z (uT)
3.252291320603342939e+01,-3.592194714453040394e+00,3.769889884000022562e+01
3.252714796908123418e+01,-3.597751753924586460e+00,3.770719200408842653e+01
3.253039289091619679e+01,-3.626461974978264280e+00,3.770372655665261163e+01
3.252326231338107476e+01,-3.620845879228919539e+00,3.768349436832775012e+01
3.251492522717742872e+01,-3.613262253997872264e+00,3.769972669557444789e+01
3.252031996667750491e+01,-3.607231855795013153e+00,3.771330112765690501e+01
3.250722622393788441e+01,-3.605289619710196014e+00,3.769318154633014473e+01
3.252054503333356905e+01,-3.606622027292872179e+00,3.768511345003199864e+01
3.251032418119461198e+01,-3.635410469113761422e+00,3.770041808259467331e+01
3.250944383427130191e+01,-3.598366573904888011e+00,3.771488393810560780e+01
3.251002297616027903e+01,-3.601344378455749506e+00,3.771025973188714886e+01
3.252200489732699396e+01,-3.603553082379684636e+00,3.772548480909156154e+01
3.250987407458595868e+01,-3.592165899022179865e+00,3.770039038556939204e+01
3.251227368612700275e+01,-3.622753209150824549e+00,3.770152435289873694e+01
3.251347643631181938e+01,-3.601518448611903622e+00,3.770163880810488166e+01
3.251758007928444982e+01,-3.619809373331139390e+00,3.771029768311974806e+01
3.251342833355318618e+01,-3.606069008309058521e+00,3.770304868515581376e+01
3.252419985385054702e+01,-3.607469972172207218e+00,3.769830827524771877e+01
3.251171465997983745e+01,-3.574195475184100967e+00,3.770297581996207725e+01
3.252888469266887483e+01,-3.602402138849864155e+00,3.770922155429858691e+01
3.250443205350337195e+01,-3.619530205998444661e+00,3.769719750434577321e+01
3.252891610407287715e+01,-3.608389235128653283e+00,3.770133815557786505e+01
3.251864487026827533e+01,-3.615838319480145113e+00,3.770543905458062994e+01
3.252212734222231916e+01,-3.611954328441342010e+00,3.768048303065081939e+01
3.251605003158253737e+01,-3.622676170950287489e+00,3.771574264849922997e+01
3.249944580545611217e+01,-3.610227680097326974e+00,3.770241608720341020e+01
3.252015694893810149e+01,-3.624753198520947794e+00,3.770574707236288248e+01
3.251734443025286225e+01,-3.602231309636873213e+00,3.769310681305288568e+01
3.251759715225927039e+01,-3.610845175355536618e+00,3.771059129054095393e+01
3.251243432906260011e+01,-3.616100045042515809e+00,3.771328091572592456e+01
3.253884490179387967e+01,-3.631263520104507148e+00,3.769736796131449807e+01
3.251161078869166943e+01,-3.609588033754615122e+00,3.769073077688461382e+01
3.250926600495448326e+01,-3.621798214418507911e+00,3.769437962242660944e+01
3.251485432204244574e+01,-3.617224867744911698e+00,3.769455530713889857e+01
3.251889013842736631e+01,-3.597293529097091103e+00,3.770334118899654641e+01
3.252112398719216912e+01,-3.617936953720605864e+00,3.771381775105324152e+01
3.252698890012410260e+01,-3.630731527400913539e+00,3.768845670791227320e+01
3.250084526863305712e+01,-3.597136150666642607e+00,3.770192029204248030e+01
