ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
2.948698432303438466e+01,-1.418044916431916036e+01,3.770211419708795120e+01
2.946467335663465903e+01,-1.422674969750782736e+01,3.770211419708795120e+01
2.944228968908232247e+01,-1.427301512760609725e+01,3.770211419708795120e+01
2.941983337560684930e+01,-1.431924534045858799e+01,3.770211419708795120e+01
2.939730447161697313e+01,-1.436544022199682757e+01,3.770211419708795120e+01
2.937470303270053762e+01,-1.441159965823952049e+01,3.770211419708795120e+01
2.935202911462435083e+01,-1.445772353529282661e+01,3.770211419708795120e+01
2.932928277333406086e+01,-1.450381173935064716e+01,3.770211419708795120e+01
2.930646406495400669e+01,-1.454986415669490896e+01,3.770211419708795120e+01
2.928357304578708664e+01,-1.459588067369583797e+01,3.770211419708795120e+01
2.926060977231462346e+01,-1.464186117681223998e+01,3.770211419708795120e+01
2.923757430119621858e+01,-1.468780555259178477e+01,3.770211419708795120e+01
2.921446668926961010e+01,-1.473371368767127976e+01,3.770211419708795120e+01
2.919128699355053058e+01,-1.477958546877696122e+01,3.770211419708795120e+01
2.916803527123258633e+01,-1.482542078272476260e+01,3.770211419708795120e+01
2.914471157968709036e+01,-1.487121951642058981e+01,3.770211419708795120e+01
2.912131597646294168e+01,-1.491698155686062321e+01,3.770211419708795120e+01
2.909784851928645821e+01,-1.496270679113156454e+01,3.770211419708795120e+01
2.907430926606126320e+01,-1.500839510641094066e+01,3.770211419708795120e+01
2.905069827486812883e+01,-1.505404638996737177e+01,3.770211419708795120e+01
2.902701560396482705e+01,-1.509966052916085033e+01,3.770211419708795120e+01
2.900326131178599809e+01,-1.514523741144301638e+01,3.770211419708795120e+01
2.897943545694300127e+01,-1.519077692435744353e+01,3.770211419708795120e+01
2.895553809822375868e+01,-1.523627895553990541e+01,3.770211419708795120e+01
2.893156929459263083e+01,-1.528174339271865989e+01,3.770211419708795120e+01
2.890752910519026386e+01,-1.532717012371472798e+01,3.770211419708795120e+01
2.888341758933343684e+01,-1.537255903644216382e+01,3.770211419708795120e+01
2.885923480651491246e+01,-1.541791001890833357e+01,3.770211419708795120e+01
2.883498081640330213e+01,-1.546322295921419609e+01,3.770211419708795120e+01
2.881065567884293088e+01,-1.550849774555457472e+01,3.770211419708795120e+01
2.878625945385364204e+01,-1.555373426621843258e+01,3.770211419708795120e+01
2.876179220163070838e+01,-1.559893240958914973e+01,3.770211419708795120e+01
2.873725398254462959e+01,-1.564409206414480025e+01,3.770211419708795120e+01
2.871264485714103643e+01,-1.568921311845842581e+01,3.770211419708795120e+01
2.868796488614049167e+01,-1.573429546119830746e+01,3.770211419708795120e+01
2.866321413043837651e+01,-1.577933898112824807e+01,3.770211419708795120e+01
2.863839265110471644e+01,-1.582434356710783518e+01,3.770211419708795120e+01
2.861350050938404621e+01,-1.586930910809272532e+01,3.770211419708795120e+01
2.858853776669524649e+01,-1.591423549313492281e+01,3.770211419708795120e+01
2.856350448463140523e+01,-1.595912261138303023e+01,3.770211419708795120e+01
2.853840072495966851e+01,-1.600397035208255048e+01,3.770211419708795120e+01
2.851322654962105574e+01,-1.604877860457613536e+01,3.770211419708795120e+01
2.848798202073034602e+01,-1.609354725830387878e+01,3.770211419708795120e+01
2.846266720057590405e+01,-1.613827620280358133e+01,3.770211419708795120e+01
2.843728215161953443e+01,-1.618296532771100971e+01,3.770211419708795120e+01
2.841182693649631830e+01,-1.622761452276019867e+01,3.770211419708795120e+01
2.838630161801447827e+01,-1.627222367778369616e+01,3.770211419708795120e+01
2.836070625915518661e+01,-1.631679268271284400e+01,3.770211419708795120e+01
2.833504092307245870e+01,-1.636132142757805141e+01,3.770211419708795120e+01
2.830930567309295398e+01,-1.640580980250907217e+01,3.770211419708795120e+01
2.828350057271584816e+01,-1.645025769773525681e+01,3.770211419708795120e+01
2.825762568561265553e+01,-1.649466500358584398e+01,3.770211419708795120e+01
2.823168107562709039e+01,-1.653903161049022685e+01,3.770211419708795120e+01
2.820566680677489657e+01,-1.658335740897820543e+01,3.770211419708795120e+01
2.817958294324370172e+01,-1.662764228968028135e+01,3.770211419708795120e+01
2.815342954939284681e+01,-1.667188614332791374e+01,3.770211419708795120e+01
2.812720668975322624e+01,-1.671608886075379274e+01,3.770211419708795120e+01
2.810091442902713865e+01,-1.676025033289210597e+01,3.770211419708795120e+01
2.807455283208813057e+01,-1.680437045077880853e+01,3.770211419708795120e+01
2.804812196398081525e+01,-1.684844910555190012e+01,3.770211419708795120e+01
