mag_x (uT),mag_y (uT),mag_z (uT)
3.251673457555212821e+01,-3.612219665146048531e+00,3.769685259360375795e+01
3.250903873797854970e+01,-3.617234715813792523e+00,3.771306568448716234e+01
3.252569279032671545e+01,-3.607416642914213600e+00,3.770985421483872813e+01
3.252164508547123489e+01,-3.599512333258180874e+00,3.770571115502858817e+01
3.252933542371057030e+01,-3.614949958579183331e+00,3.769510693457844752e+01
3.250301501181650110e+01,-3.628542663106665955e+00,3.769540637108170955e+01
3.250697398955205131e+01,-3.610895053498103469e+00,3.770088384966245343e+01
3.251798420910533594e+01,-3.604113478928529624e+00,3.769680505690804750e+01
3.250976351126972475e+01,-3.588766009637251564e+00,3.770401840376759139e+01
3.251620285206630712e+01,-3.600127187921438487e+00,3.769197028585900711e+01
3.251893187641550043e+01,-3.600567537462979306e+00,3.770199479642788276e+01
3.252261885218680248e+01,-3.608817898878263541e+00,3.769369231079067362e+01
3.252290436251857386e+01,-3.610735528700472763e+00,3.769462030177087541e+01
3.250559189090389367e+01,-3.603580342055188623e+00,3.770213318673919645e+01
3.253762499377875628e+01,-3.599984020749533276e+00,3.771711528927521329e+01
3.252954844905029574e+01,-3.607173879516153647e+00,3.770108794410614905e+01
3.250592947384244269e+01,-3.614200552522843779e+00,3.770788962470035699e+01
3.250244477726020875e+01,-3.605976129006032149e+00,3.770369918327772041e+01
3.253465862121627339e+01,-3.620354838878546033e+00,3.770244760876330048e+01
3.252965007256186425e+01,-3.611148743356499935e+00,3.769711113943724712e+01
3.252653887195702964e+01,-3.618715472618260875e+00,3.771854128825940222e+01
3.251212655210693470e+01,-3.608297512799912621e+00,3.769443098105751488e+01
3.252022945023482237e+01,-3.605027647371055188e+00,3.769089956401049335e+01
3.250838118834342083e+01,-3.606203852236745444e+00,3.769714583306212319e+01
3.249907773344477135e+01,-3.607218734041844233e+00,3.770582395918889773e+01
3.251380467855860701e+01,-3.612922178762787428e+00,3.770314522532724055e+01
3.251670289753697318e+01,-3.612619462765662259e+00,3.770652498454423096e+01
3.251502032882400073e+01,-3.613849463035232024e+00,3.770649397771263978e+01
3.251001422621521897e+01,-3.611433283923758619e+00,3.769904666734316834e+01
3.252323573034723836e+01,-3.615428676631860405e+00,3.770633605987070069e+01
3.252078161582416982e+01,-3.598827041845821473e+00,3.768854204779234607e+01
3.251361790417877273e+01,-3.616977718223935323e+00,3.770629003673199264e+01
3.252872497126296736e+01,-3.616901573950290327e+00,3.769289630116345080e+01
3.252463322631027864e+01,-3.599023918483899465e+00,3.770873330763053843e+01
